#RunNum   EventNum    x(mm)    y(mm)    z(mm)
2384 2326 -0.508384 -20.1023 -1.45184
2384 2329 0.106149 -20.8604 -1.58036
2384 2336 -0.511653 -20.4771 -1.45679
2384 2363 0.218255 -20.5202 -1.59169
2384 2380 -0.0284263 -20.4117 -1.39065
2384 2396 -0.125143 -20.3416 -1.64546
2384 2405 -0.390576 -20.3152 -1.52001
2384 2419 0.10375 -20.2733 -1.4
2384 2434 -0.563755 -20.4171 -1.49445
2384 2438 -0.0616792 -20.5766 -1.44417
2384 2495 0.35514 -20.2126 -1.54201
2384 2498 -0.234975 -20.799 -1.41904
2384 2515 -0.498427 -20.4072 -1.42836
2384 2517 -0.559533 -20.7272 -1.60228
2384 2525 -0.266806 -20.2469 -1.42322
2384 2532 -0.469755 -20.3651 -1.60468
2384 2544 -0.22848 -20.9362 -1.5002
2384 2551 -0.162783 -20.771 -1.6453
2384 2569 -0.132183 -20.1999 -1.71282
2384 2571 -1.04071 -20.671 -1.62471
2384 2581 -0.0389889 -20.7193 -1.52918
2384 2593 -1.024 -21.0367 -1.44167
2384 2605 0.210051 -20.3004 -1.45677
2384 2607 -0.169791 -20.2231 -1.47085
2384 2608 0.134416 -20.4686 -1.31533
2384 2625 0.118675 -20.712 -1.49686
2384 2627 0.0657283 -20.8083 -1.46559
2384 2630 0.0783277 -20.2286 -1.52507
2384 2637 -0.614207 -20.305 -1.36232
2384 2640 -0.347546 -20.4611 -1.59321
2384 2660 -0.96434 -21.0318 -1.62115
2384 2676 0.0363455 -20.7198 -1.44498
2384 2689 0.142945 -20.3422 -1.46191
2384 2690 -0.167039 -20.6171 -1.64447
2384 2692 0.185711 -20.1997 -1.39084
2384 2706 -0.0708773 -20.6792 -1.42734
2384 2713 0.0952143 -21.1915 -1.61857
2384 2723 0.750586 -20.3018 -1.41256
2384 2729 -0.387024 -20.7519 -1.49987
2384 2737 -0.170204 -20.7191 -1.63107
2384 2740 -0.0161366 -20.4953 -1.49078
2384 2754 -0.171351 -20.5907 -1.59943
2384 2798 0.102099 -20.5135 -1.61914
2384 2799 -0.0148709 -20.4352 -1.4292
2384 2816 -0.707536 -20.114 -1.65746
2384 2824 -0.427469 -20.4076 -1.44562
2384 2835 -0.426011 -20.3467 -1.61951
2384 2839 -0.257791 -20.0442 -1.45483
2384 2863 -0.242013 -20.6071 -1.43889
2384 2872 0.382688 -20.7135 -1.54781
2384 2877 -0.158344 -20.7835 -1.50467
2384 2882 -0.136893 -20.0697 -1.44718
2384 2883 -0.948513 -20.8989 -1.63499
2384 2888 -0.355872 -20.3805 -1.65235
2384 2906 -0.545762 -20.8859 -1.49693
2384 2908 -0.273539 -20.8692 -1.41395
2384 2912 -0.0522248 -20.8778 -1.44984
2384 2927 -0.478281 -20.3007 -1.62394
2384 2928 -0.0183899 -20.5977 -1.37585
2384 2937 -0.0614688 -21.0298 -1.44015
2384 2954 0.0673635 -20.5665 -1.41027
2384 2971 -0.380595 -20.5042 -1.55971
2384 2983 0.0930938 -20.8113 -1.54466
2384 2984 -0.0603058 -20.3597 -1.54184
2384 2991 -0.104459 -20.5157 -1.59735
2384 3011 -0.107063 -20.8317 -1.32915
2384 3026 0.0705554 -20.7616 -1.43261
2384 3038 -0.554732 -20.4592 -1.47952
2384 3053 -0.288163 -20.4495 -1.40369
2384 3066 0.153409 -20.9617 -1.5912
2384 3087 -0.451172 -20.4609 -1.37072
2384 3094 0.0272422 -20.0026 -1.51019
2384 3099 -0.486358 -21.1352 -1.46566
2384 3117 0.538026 -20.2062 -1.67391
2384 3129 0.363123 -20.054 -1.57414
2384 3167 -0.0662529 -21.1696 -1.45644
2384 3169 0.118552 -20.9359 -1.54499
2384 3198 -0.308957 -20.4236 -1.56155
2384 3216 -0.45591 -21.1021 -1.51929
2384 3218 -0.60327 -20.3169 -1.53306
2384 3240 -0.20446 -20.8441 -1.49597
2384 3245 0.166653 -20.2695 -1.5234
2384 3248 0.161855 -19.8439 -1.47056
2384 3252 -0.407669 -20.7487 -1.38432
2384 3264 -0.109529 -20.3037 -1.55532
2384 3266 0.0197555 -19.9966 -1.51334
2384 3268 -0.310674 -20.7222 -1.4689
2384 3273 -1.07343 -21.3808 -1.43397
2384 3288 -0.077999 -20.6094 -1.52441
2384 3289 -0.660917 -20.9152 -1.53799
2384 3302 -0.745792 -21.0921 -1.3783
2384 3310 -0.0855739 -20.6551 -1.44509
2384 3316 0.480983 -20.548 -1.47453
2384 3325 0.533092 -20.4679 -1.63609
2384 3329 -0.254708 -21.0058 -1.44344
